                                                                                                             
{'loss': '0.1075', 'grad_norm': '0.1499', 'learning_rate': '0.0001158', 'epoch': '1.264'}
{'loss': '0.1098', 'grad_norm': '0.2335', 'learning_rate': '0.0001154', 'epoch': '1.269'}
{'loss': '0.1127', 'grad_norm': '0.2565', 'learning_rate': '0.0001151', 'epoch': '1.274'}
{'loss': '0.1125', 'grad_norm': '0.2113', 'learning_rate': '0.0001147', 'epoch': '1.28'}
{'loss': '0.1022', 'grad_norm': '0.08788', 'learning_rate': '0.0001144', 'epoch': '1.285'}
{'loss': '0.09505', 'grad_norm': '0.1845', 'learning_rate': '0.000114', 'epoch': '1.29'}
{'loss': '0.1176', 'grad_norm': '0.1389', 'learning_rate': '0.0001137', 'epoch': '1.295'}
{'loss': '0.1153', 'grad_norm': '0.2042', 'learning_rate': '0.0001134', 'epoch': '1.3'}
{'loss': '0.1184', 'grad_norm': '0.1845', 'learning_rate': '0.000113', 'epoch': '1.305'}
{'loss': '0.105', 'grad_norm': '0.1362', 'learning_rate': '0.0001127', 'epoch': '1.31'}
{'loss': '0.1063', 'grad_norm': '0.1762', 'learning_rate': '0.0001123', 'epoch': '1.316'}
{'loss': '0.1094', 'grad_norm': '0.198', 'learning_rate': '0.000112', 'epoch': '1.321'}
{'loss': '0.1183', 'grad_norm': '0.1681', 'learning_rate': '0.0001116', 'epoch': '1.326'}
{'loss': '0.1088', 'grad_norm': '0.2447', 'learning_rate': '0.0001113', 'epoch': '1.331'}
